Time	Channel Voltage	Channel Current	Channel LP1	Channel LP2
(us)	(V)	(V)	(V)	(V)

86.33999750	6.11035919	0.55296504	-4.34608746	-0.16455463
86.34399750	5.94918776	0.55296504	-4.34301186	-0.16424704
86.34799750	5.94918776	0.55296504	-4.33839798	-0.16409326
86.35199750	5.94918776	0.55296504	-4.33378458	-0.16378568
86.35599750	6.11035919	0.55296504	-4.32917070	-0.16363189
86.35999750	6.11035919	0.55296504	-4.32609510	-0.16347811
86.36399750	5.94918776	0.55296504	-4.32148123	-0.16332431
86.36799750	6.11035919	0.55296504	-4.31686783	-0.16317053
86.37199750	6.11035919	0.55296504	-4.31225395	-0.16301674
86.37599750	5.94918776	0.55296504	-4.30764008	-0.16286296
86.37999750	5.94918776	0.55296504	-4.30456448	-0.16255537
86.38399750	6.11035919	0.55296504	-4.29995108	-0.16240157
86.38799750	6.11035919	0.55296504	-4.29533720	-0.16224779
86.39199750	6.11035919	0.55296504	-4.29226112	-0.16224779
86.39599750	5.94918776	0.55296504	-4.28764772	-0.16209400
86.39999750	5.94918776	0.55296504	-4.28303385	-0.16194022
86.40399750	6.11035919	0.55296504	-4.27842045	-0.16178641
86.40799750	5.94918776	0.55296504	-4.27534485	-0.16163263
86.41199750	6.11035919	0.55296504	-4.27073097	-0.16147883
86.41599750	6.11035919	0.55296504	-4.26611710	-0.16132505
86.41999750	6.27091551	0.55296504	-4.26304150	-0.16132505
86.42399750	6.11035919	0.55296504	-4.25842762	-0.16117126
86.42799750	5.94918776	0.55296504	-4.25535154	-0.16101748
86.43199750	5.94918776	0.55296504	-4.25073814	-0.16086368
86.43599750	6.11035919	0.55296504	-4.24766254	-0.16086368
86.43999750	6.27091551	0.55296504	-4.24304867	-0.16070990
86.44399750	6.27091551	0.55296504	-4.23997307	-0.16070990
86.44799750	6.11035919	0.55296504	-4.23535919	-0.16055611
86.45199750	6.11035919	0.55296504	-4.23228359	-0.16055611
86.45599750	6.11035919	0.55296504	-4.22766972	-0.16040233
86.45999750	6.11035919	0.55296504	-4.22459412	-0.16040233
86.46399750	6.11035919	0.55296504	-4.21998024	-0.16040233
86.46799750	6.27091551	0.55296504	-4.21690464	-0.16024852
86.47199750	6.27091551	0.55296504	-4.21382856	-0.16024852
86.47599750	6.27091551	0.55296504	-4.21075296	-0.16009474
